code,name,open,ed60,ypc60,ypcgr,testavg,proprts,edavg,region
ARG,Argentina,0,6.131,7.395,.99599999,3.9200001,6.5,7.2150002,LATAM
AUS,Australia,.87,9.8149996,10.618,2.2179999,5.093658,9.3199997,11.4515,COMM
AUT,Austria,1,8.276,7.3649998,2.9630001,5.0892239,9.7399998,9.8520002,C-EUR
BEL,Belgium,1,7.3889999,7.7589998,2.8399999,5.0410771,9.6899996,9.1140003,C-EUR
BRA,Brazil,.20999999,3.072,2.395,2.7850001,3.6375,7.9000001,5.2845001,LATAM
CAN,Canada,1,9.1140003,10.419,2.402,5.0378337,9.7399998,11.091,COMM
CHE,Switzerland,1,10.963,14.877,1.446,5.1415248,10,11.845,C-EUR
CHL,Chile,.58999997,6.1880002,3.8180001,2.4159999,4.049305,7.8200002,8.066,LATAM
CHN,China,0,2.26,.685,4.3410001,4.9394484,7.79,4.1090002,ASIA
COL,Colombia,.33000001,3.701,2.5250001,1.909,4.152123,7.3899999,5.414,LATAM
CYP,Cyprus,1,5.5289998,3.0650001,4.6630001,4.5421205,,7.1999998,MENA
DNK,Denmark,1,9.0799999,10.917,2.2539999,4.9621825,9.7399998,10.6395,N-EUR
EGY,Egypt,.20999999,1.005,1.476,2.6389999,4.0299459,6.77,3.8815,MENA
ESP,Spain,1,5.7940001,4.6929998,3.4260001,4.8290858,9.6199999,7.6494999,S-EUR
FIN,Finland,1,6.8509998,7.4380002,2.95,5.1263013,9.7399998,9.2659998,N-EUR
FRA,France,1,6.7290001,7.8600001,2.6489999,5.0400476,9.7399998,8.7290001,C-EUR
GBR,United Kingdom,1,9.1129999,9.6820002,2.095,4.9499984,9.79,11.118999,C-EUR
GHA,Ghana,.33000001,1.892,.83200002,1.217,3.6028206,6.3200002,3.5755,SSAFR
GRC,Greece,1,5.9400001,4.1589999,3.194,4.6076999,7.7800002,7.9204998,S-EUR
HKG,Hong Kong,1,5.8150001,3.0469999,5.5770001,5.1949201,8.1300001,8.4084997,ASIA
IDN,Indonesia,.72000003,1.6,.95999998,3.385,3.879873,7.5300002,4.4250002,ASIA
IND,India,0,1.169,.838,2.7509999,4.2814255,8.2799997,2.7540002,ASIA
IRL,Ireland,.85000002,7.2449999,5.2080002,4.1389999,4.9945698,9.7399998,8.7080002,C-EUR
IRN,Iran,0,.71200001,2.635,2.075,4.2185884,,3.0279999,MENA
ISL,Iceland,,6.507,8.1059999,2.835,4.9355664,,8.4305,N-EUR
ISR,Israel,.33000001,8.1359997,5.3610001,2.918,4.6862974,8.5900002,9.6749992,MENA
ITA,Italy,1,5.8179998,6.8169999,2.948,4.7576079,9.46,8.073,S-EUR
JOR,Jordan,1,2.575,2.3050001,1.318,4.2637086,6.7600002,6.428,MENA
JPN,Japan,.94999999,9.4790001,4.6570001,4.256,5.3104329,9.7399998,11.0445,ASIA
KOR,"Korea, Republic of",.76999998,4.98,1.571,5.954,5.3375764,8.71,8.6604996,ASIA
MAR,Morocco,.49000001,.611,1.322,2.6199999,3.3271976,7.0900002,2.0975001,MENA
MEX,Mexico,.31,3.98,3.97,2,3.9974999,7.5100002,5.9665003,LATAM
MYS,Malaysia,1,3.217,2.1470001,3.905,4.8384385,7.98,6.2620001,ASIA
NLD,Netherlands,1,8.3380003,9.2629995,2.4419999,5.1149516,10,9.8385,C-EUR
NOR,Norway,1,9.0509996,8.2390003,3.016,4.8302016,9.8999996,10.768,N-EUR
NZL,New Zealand,.31,8.9799995,11.555,1.228,4.9784932,9.7399998,10.535999,COMM
PER,Peru,.38,4.2670002,3.118,.96700001,3.125,5.9400001,6.2930002,LATAM
PHL,Philippines,.25999999,4.448,2.0220001,1.325,3.6470041,5.46,6.1945,ASIA
PRT,Portugal,1,3.155,3.434,3.915,4.5637293,9.1400003,5.2160001,S-EUR
ROM,Romania,.18000001,7.2249999,1.0470001,3.5869999,4.5622315,7.2800002,8.6134996,S-EUR
SGP,Singapore,1,4.1950002,2.28,6.8709998,5.330431,9.3199997,7.0050001,ASIA
SWE,Sweden,1,8.6850004,10.112,2.148,5.0130043,9.5200005,10.2005,N-EUR
THA,Thailand,1,2.6010001,1.1210001,4.631,4.5647092,7.6100001,5.0565,ASIA
TUN,Tunisia,.25999999,.82800001,1.9291081,3.191,3.795032,6.4499998,2.6340001,MENA
TUR,Turkey,.23,2.1370001,2.7,2.3510001,4.127964,7.46,4.1955004,MENA
TWN,Taiwan,.89999998,4.3639998,1.4680001,6.6669998,5.4516716,9.2299995,7.3199997,ASIA
URY,Uruguay,.13,5.316,5.8400002,1.2539999,4.3000002,7.0700002,6.8365002,LATAM
USA,USA,1,10.179,12.414,2.4979999,4.9026356,10,11.403999,COMM
ZAF,South Africa,.16,4.3210001,4.9169998,1.075,3.0893619,6.96,5.8345003,SSAFR
ZWE,Zimbabwe,0,3.559,1.1619999,1.919,4.1070619,6.1799998,5.9264998,SSAFR
